Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
"New Philadelphia, OH",Metro,10846,0.506,0.304,0.202,5490,3296,2194,735,32314,0.363,0.143,0.219,3389,1339,2050,728,36155,8995,0.35,0.193,0.157,3151,1737,1414,679,28476,1505,0.143,0.161,-0.017,2101,1957,144,0.009,-0.106,1851,0.156,0.111,0.045,2339,1559,780,0.083,0.135
"New York, NY",Metro,3337220,0.522,0.24,0.282,1741925,799452,942473,1434,50654,0.53,0.251,0.279,1747964,827342,920622,1418,49675,3005964,0.506,0.238,0.268,1520829,714838,805991,1255,47590,39938,-0.008,-0.011,0.003,-6039,-27890,21851,0.011,0.02,331256,0.016,0.002,0.014,221096,84614,136482,0.143,0.064
"Niles, MI",Metro,16503,0.443,0.226,0.218,7315,3723,3592,686,29077,0.557,0.292,0.266,9765,5111,4654,771,25834,16476,0.56,0.267,0.293,9223,4398,4825,670,21664,-1019,-0.114,-0.066,-0.048,-2450,-1388,-1062,-0.111,0.126,27,-0.117,-0.041,-0.075,-1908,-675,-1233,0.024,0.342
"North Port, FL",Metro,80798,0.509,0.245,0.264,41125,19809,21316,1267,48355,0.563,0.275,0.287,43741,21415,22326,1204,43273,71029,0.573,0.28,0.293,40721,19881,20840,1165,43722,3053,-0.054,-0.03,-0.023,-2616,-1606,-1010,0.052,0.117,9769,-0.064,-0.035,-0.03,404,-72,476,0.087,0.106
"North Wilkesboro, NC",Metro,6827,0.521,0.29,0.232,3560,1979,1581,617,26066,0.381,0.181,0.201,2306,1093,1213,601,27372,5474,0.492,0.199,0.293,2694,1090,1604,578,24312,779,0.14,0.109,0.031,1254,886,368,0.027,-0.048,1353,0.029,0.091,-0.061,866,889,-23,0.068,0.072
"Norwich, CT",Metro,35140,0.463,0.254,0.209,16282,8923,7359,1115,44049,0.47,0.261,0.209,15927,8852,7075,1078,43569,30654,0.428,0.24,0.188,13117,7367,5750,1097,45674,1272,-0.007,-0.007,0.001,355,71,284,0.034,0.011,4486,0.035,0.014,0.022,3165,1556,1609,0.016,-0.036
"Oak Harbor, WA",Metro,8758,0.476,0.286,0.191,4173,2503,1670,1191,48710,0.455,0.323,0.132,4452,3164,1288,1086,43843,7129,0.423,0.256,0.167,3019,1825,1194,1029,44614,-1034,0.022,-0.037,0.059,-279,-661,382,0.097,0.111,1629,0.053,0.03,0.023,1154,678,476,0.158,0.092
"Ocala, FL",Metro,30290,0.495,0.221,0.274,15005,6706,8299,901,34502,0.454,0.242,0.212,13143,7009,6134,881,34560,30207,0.569,0.289,0.28,17193,8743,8450,894,31941,1324,0.042,-0.021,0.062,1862,-303,2165,0.022,-0.002,83,-0.074,-0.068,-0.006,-2188,-2037,-151,0.008,0.08
"Ocean City, NJ",Metro,6731,0.672,0.325,0.347,4521,2186,2335,1107,33231,0.508,0.156,0.352,4037,1240,2797,1095,40932,9853,0.311,0.16,0.152,3068,1574,1494,1279,44979,-1212,0.163,0.169,-0.005,484,946,-462,0.011,-0.188,-3122,0.36,0.165,0.195,1453,612,841,-0.135,-0.261
"Odessa, TX",Metro,17340,0.375,0.228,0.147,6494,3952,2542,1028,44748,0.411,0.28,0.131,6735,4585,2150,971,49035,13372,0.366,0.219,0.147,4891,2931,1960,691,37015,960,-0.037,-0.052,0.015,-241,-633,392,0.059,-0.087,3968,0.009,0.009,0,1603,1021,582,0.488,0.209
"Ogden, UT",Metro,48401,0.399,0.211,0.187,19303,10235,9068,1000,45370,0.394,0.243,0.151,19495,12034,7461,958,43689,37072,0.393,0.217,0.176,14554,8035,6519,823,42318,-1024,0.004,-0.032,0.036,-192,-1799,1607,0.044,0.038,11329,0.006,-0.005,0.012,4749,2200,2549,0.215,0.072
"Ogdensburg, NY",Metro,10862,0.393,0.14,0.253,4268,1522,2746,685,32681,0.467,0.193,0.273,4219,1749,2470,765,29355,12105,0.528,0.236,0.292,6392,2861,3531,660,28076,1820,-0.074,-0.053,-0.02,49,-227,276,-0.105,0.113,-1243,-0.135,-0.096,-0.039,-2124,-1339,-785,0.037,0.164
"Oklahoma City, OK",Metro,178210,0.443,0.225,0.219,79020,40027,38993,879,38464,0.453,0.237,0.216,77965,40776,37189,875,36487,146246,0.462,0.225,0.237,67568,32955,34613,765,33089,5940,-0.009,-0.012,0.003,1055,-749,1804,0.004,0.054,31964,-0.019,-0.001,-0.018,11452,7072,4380,0.149,0.162
"Olean, NY",Metro,8424,0.391,0.194,0.197,3295,1633,1662,688,32377,0.474,0.2,0.274,4216,1781,2435,625,22579,7492,0.427,0.251,0.176,3200,1881,1319,704,27060,-472,-0.083,-0.006,-0.076,-921,-148,-773,0.1,0.434,932,-0.036,-0.057,0.021,95,-248,343,-0.023,0.196
"Olympia, WA",Metro,38394,0.504,0.267,0.237,19367,10261,9106,1222,47926,0.5,0.291,0.208,17926,10452,7474,1237,50847,30753,0.436,0.25,0.187,13415,7673,5742,1042,43357,2537,0.004,-0.024,0.029,1441,-191,1632,-0.012,-0.057,7641,0.068,0.018,0.05,5952,2588,3364,0.172,0.105
"Omaha, NE",Metro,120120,0.441,0.227,0.214,52926,27222,25704,910,40046,0.421,0.241,0.18,49831,28565,21266,916,42158,98819,0.456,0.236,0.22,45069,23322,21747,845,35356,1654,0.02,-0.015,0.034,3095,-1343,4438,-0.007,-0.05,21301,-0.015,-0.009,-0.006,7857,3900,3957,0.077,0.133
"Opelousas, LA",Metro,8304,0.58,0.328,0.252,4817,2726,2091,621,18451,0.42,0.264,0.156,2544,1599,945,634,24610,7625,0.595,0.303,0.292,4534,2308,2226,523,15581,2252,0.16,0.064,0.096,2273,1127,1146,-0.02,-0.25,679,-0.015,0.026,-0.04,283,418,-135,0.187,0.184
"Orangeburg, SC",Metro,7670,0.472,0.31,0.162,3622,2378,1244,644,22770,0.52,0.278,0.242,3880,2074,1806,699,21137,8309,0.523,0.152,0.371,4347,1266,3081,686,20899,205,-0.048,0.032,-0.08,-258,304,-562,-0.079,0.077,-639,-0.051,0.158,-0.209,-725,1112,-1837,-0.061,0.09
"Orlando, FL",Metro,322270,0.558,0.29,0.268,179966,93557,86409,1217,41780,0.55,0.254,0.296,178308,82320,95988,1184,41366,233345,0.572,0.277,0.295,133555,64680,68875,1193,44810,-2072,0.009,0.037,-0.028,1658,11237,-9579,0.028,0.01,88925,-0.014,0.013,-0.027,46411,28877,17534,0.02,-0.068
"Oshkosh, WI",Metro,22184,0.392,0.241,0.151,8702,5355,3347,735,34504,0.424,0.241,0.183,10297,5845,4452,759,34441,18431,0.399,0.22,0.179,7358,4056,3302,699,34977,-2094,-0.032,0.001,-0.033,-1595,-490,-1105,-0.032,0.002,3753,-0.007,0.021,-0.028,1344,1299,45,0.051,-0.014
"Ottawa, IL",Metro,15962,0.449,0.263,0.186,7165,4195,2970,691,30692,0.443,0.248,0.195,6536,3654,2882,791,35737,14111,0.36,0.19,0.17,5079,2680,2399,666,32655,1199,0.006,0.015,-0.009,629,541,88,-0.126,-0.141,1851,0.089,0.073,0.016,2086,1515,571,0.037,-0.06
"Owensboro, KY",Metro,13396,0.464,0.223,0.241,6216,2985,3231,767,28113,0.458,0.227,0.232,6403,3168,3235,800,34975,11828,0.452,0.307,0.146,5348,3626,1722,642,24409,-571,0.006,-0.004,0.01,-187,-183,-4,-0.042,-0.196,1568,0.012,-0.084,0.096,868,-641,1509,0.194,0.152
"Owosso, MI",Metro,7192,0.399,0.244,0.155,2871,1755,1116,684,35736,0.482,0.313,0.169,2892,1877,1015,724,26562,4865,0.614,0.305,0.309,2988,1485,1503,714,25014,1186,-0.082,-0.068,-0.014,-21,-122,101,-0.055,0.345,2327,-0.215,-0.061,-0.154,-117,270,-387,-0.042,0.429
"Oxnard, CA",Metro,96198,0.59,0.284,0.306,56748,27286,29462,1747,55872,0.575,0.299,0.276,55684,28921,26763,1786,60332,82247,0.549,0.306,0.242,45122,25207,19915,1613,55995,-629,0.015,-0.015,0.03,1064,-1635,2699,-0.022,-0.074,13951,0.041,-0.023,0.064,11626,2079,9547,0.083,-0.002
"Paducah, KY",Metro,11384,0.485,0.28,0.204,5519,3191,2328,747,26982,0.382,0.187,0.194,3789,1860,1929,644,24235,9217,0.505,0.177,0.327,4650,1633,3017,601,26635,1460,0.103,0.093,0.01,1730,1331,399,0.16,0.113,2167,-0.02,0.103,-0.123,869,1558,-689,0.243,0.013
"Palatka, FL",Metro,5417,0.416,0.152,0.264,2255,825,1430,736,26203,0.581,0.374,0.207,4287,2761,1526,655,23607,4809,0.524,0.352,0.172,2520,1692,828,677,26336,-1961,-0.165,-0.222,0.057,-2032,-1936,-96,0.123,0.11,608,-0.108,-0.2,0.092,-265,-867,602,0.086,-0.005
"Palm Bay, FL",Metro,51930,0.575,0.303,0.272,29854,15731,14123,1074,37923,0.533,0.26,0.272,29842,14577,15265,1042,37341,50475,0.544,0.272,0.272,27454,13723,13731,1063,40124,-4095,0.042,0.043,-0.001,12,1154,-1142,0.031,0.016,1455,0.031,0.031,0,2400,2008,392,0.01,-0.055
"Panama City, FL",Metro,23774,0.474,0.252,0.222,11262,5993,5269,1077,45813,0.506,0.274,0.232,13180,7141,6039,1003,38862,22155,0.444,0.207,0.237,9836,4584,5252,1052,48220,-2293,-0.032,-0.022,-0.01,-1918,-1148,-770,0.074,0.179,1619,0.03,0.045,-0.015,1426,1409,17,0.024,-0.05
"Parkersburg, WV",Metro,9046,0.543,0.323,0.22,4910,2919,1991,727,24238,0.471,0.294,0.178,4128,2572,1556,735,26385,15298,0.515,0.2,0.315,7878,3063,4815,615,25847,283,0.072,0.029,0.043,782,347,435,-0.011,-0.081,-6252,0.028,0.122,-0.095,-2968,-144,-2824,0.181,-0.062
"Pensacola, FL",Metro,54419,0.475,0.285,0.19,25852,15491,10361,999,38946,0.516,0.314,0.202,29519,17964,11555,1003,36569,42579,0.578,0.302,0.276,24597,12858,11739,928,33948,-2784,-0.041,-0.029,-0.012,-3667,-2473,-1194,-0.004,0.065,11840,-0.103,-0.017,-0.085,1255,2633,-1378,0.077,0.147
"Peoria, IL",Metro,40615,0.43,0.197,0.233,17482,8007,9475,777,33491,0.42,0.222,0.198,15662,8285,7377,748,32255,34738,0.433,0.236,0.197,15042,8215,6827,782,31682,3360,0.01,-0.025,0.035,1820,-278,2098,0.039,0.038,5877,-0.003,-0.039,0.037,2440,-208,2648,-0.006,0.057
"Philadelphia, PA",Metro,716882,0.51,0.228,0.282,365621,163141,202480,1134,41267,0.508,0.232,0.276,347955,159012,188943,1113,37523,624460,0.508,0.236,0.272,317276,147158,170118,1053,38677,32126,0.002,-0.005,0.007,17666,4129,13537,0.019,0.1,92422,0.002,-0.008,0.01,48345,15983,32362,0.077,0.067
"Phoenix, AZ",Metro,591068,0.469,0.25,0.219,277121,147539,129582,1117,45812,0.474,0.244,0.231,270576,139049,131527,1122,43645,430349,0.502,0.267,0.236,216173,114717,101456,1067,41611,20691,-0.006,0.006,-0.011,6545,8490,-1945,-0.005,0.05,160719,-0.033,-0.017,-0.017,60948,32822,28126,0.047,0.101
"Pine Bluff, AR",Metro,10236,0.499,0.302,0.198,5112,3088,2024,721,27808,0.477,0.236,0.242,4204,2075,2129,699,24681,9378,0.594,0.238,0.356,5570,2231,3339,697,21750,1425,0.022,0.066,-0.044,908,1013,-105,0.031,0.127,858,-0.095,0.064,-0.158,-458,857,-1315,0.035,0.279
"Pittsburgh, PA",Metro,284169,0.45,0.229,0.221,127850,65172,62678,832,33201,0.436,0.209,0.227,120252,57589,62663,817,32864,264673,0.462,0.222,0.24,122240,58781,63459,739,29090,8176,0.014,0.021,-0.006,7598,7583,15,0.019,0.01,19496,-0.012,0.007,-0.019,5610,6391,-781,0.125,0.141
"Pittsfield, MA",Metro,16846,0.536,0.248,0.288,9030,4172,4858,894,35442,0.54,0.345,0.195,8603,5501,3102,841,31861,17412,0.533,0.288,0.245,9281,5012,4269,819,34547,922,-0.004,-0.098,0.094,427,-1329,1756,0.063,0.112,-566,0.003,-0.04,0.043,-251,-840,589,0.092,0.026
"Plattsburgh, NY",Metro,8959,0.448,0.217,0.231,4012,1943,2069,827,31963,0.342,0.22,0.123,3581,2300,1281,775,37994,7908,0.467,0.223,0.243,3691,1766,1925,704,27924,-1498,0.105,-0.003,0.108,431,-357,788,0.068,-0.159,1051,-0.019,-0.006,-0.012,321,177,144,0.174,0.145
"Pocatello, ID",Metro,9970,0.381,0.171,0.211,3803,1700,2103,695,34315,0.558,0.322,0.237,5303,3055,2248,697,23554,8095,0.426,0.225,0.201,3446,1821,1625,628,29807,471,-0.177,-0.151,-0.026,-1500,-1355,-145,-0.003,0.457,1875,-0.044,-0.054,0.01,357,-121,478,0.107,0.151
"Port Angeles, WA",Metro,8467,0.498,0.241,0.257,4218,2042,2176,1032,40466,0.516,0.316,0.2,4502,2759,1743,985,33757,8719,0.457,0.272,0.184,3982,2375,1607,896,34893,-266,-0.017,-0.075,0.057,-284,-717,433,0.047,0.199,-252,0.041,-0.031,0.073,236,-333,569,0.151,0.16
"Port St. Lucie, FL",Metro,41307,0.616,0.336,0.28,25435,13872,11563,1254,43398,0.604,0.362,0.242,26912,16133,10779,1190,43845,34584,0.671,0.364,0.307,23208,12605,10603,1267,48981,-3239,0.012,-0.026,0.038,-1477,-2261,784,0.054,-0.01,6723,-0.055,-0.029,-0.027,2227,1267,960,-0.01,-0.114
"Portland, ME",Metro,63832,0.486,0.258,0.228,30999,16440,14559,1068,38738,0.464,0.252,0.212,24761,13426,11335,1018,43988,57771,0.547,0.273,0.274,31624,15792,15832,950,37750,10455,0.022,0.006,0.016,6238,3014,3224,0.049,-0.119,6061,-0.062,-0.016,-0.046,-625,648,-1273,0.124,0.026
"Portland, OR",Metro,343256,0.484,0.253,0.231,166031,86763,79268,1323,50801,0.508,0.254,0.253,167688,84005,83683,1273,48794,277889,0.477,0.246,0.231,132581,68372,64209,966,40935,13047,-0.024,-0.002,-0.022,-1657,2758,-4415,0.039,0.041,65367,0.007,0.007,0,33450,18391,15059,0.37,0.241
"Portsmouth, OH",Metro,8513,0.444,0.233,0.212,3784,1981,1803,598,21073,0.449,0.241,0.207,4039,2174,1865,587,21990,7329,0.559,0.19,0.369,4098,1394,2704,592,20103,-491,-0.004,-0.009,0.005,-255,-193,-62,0.018,-0.042,1184,-0.115,0.042,-0.157,-314,587,-901,0.01,0.048
"Pottsville, PA",Metro,12180,0.522,0.253,0.269,6358,3086,3272,663,25701,0.467,0.311,0.155,6387,4262,2125,658,27111,12631,0.373,0.213,0.16,4715,2688,2027,623,31654,-1505,0.055,-0.058,0.113,-29,-1176,1147,0.007,-0.052,-451,0.149,0.041,0.108,1643,398,1245,0.065,-0.188
"Prescott, AZ",Metro,24540,0.528,0.312,0.216,12952,7651,5301,864,32576,0.499,0.238,0.26,12923,6175,6748,970,37997,24421,0.512,0.292,0.22,12495,7122,5373,984,42597,-1380,0.029,0.074,-0.044,29,1476,-1447,-0.109,-0.143,119,0.016,0.02,-0.004,457,529,-72,-0.122,-0.235
"Providence, RI",Metro,225066,0.468,0.251,0.217,105408,56471,48937,956,36331,0.452,0.232,0.221,102246,52385,49861,942,35878,212338,0.482,0.238,0.244,102246,50443,51803,978,34463,-1036,0.016,0.019,-0.003,3162,4086,-924,0.015,0.013,12728,-0.013,0.013,-0.027,3162,6028,-2866,-0.022,0.054
"Provo, UT",Metro,50752,0.467,0.268,0.2,23706,13579,10127,1057,43117,0.481,0.285,0.195,25900,15377,10523,1037,43557,36015,0.462,0.264,0.198,16635,9494,7141,873,39564,-3128,-0.014,-0.018,0.004,-2194,-1798,-396,0.019,-0.01,14737,0.005,0.004,0.001,7071,4085,2986,0.21,0.09
"Pueblo, CO",Metro,20904,0.559,0.264,0.295,11695,5527,6168,775,26396,0.496,0.192,0.304,10962,4246,6716,803,26364,18822,0.56,0.233,0.326,10532,4390,6142,726,24056,-1188,0.063,0.072,-0.009,733,1281,-548,-0.035,0.001,2082,0,0.031,-0.031,1163,1137,26,0.067,0.097
"Punta Gorda, FL",Metro,11913,0.635,0.244,0.391,7566,2908,4658,1050,32835,0.517,0.262,0.256,7180,3630,3550,979,40159,15549,0.542,0.323,0.22,8430,5015,3415,1146,47360,-1964,0.118,-0.017,0.135,386,-722,1108,0.072,-0.182,-3636,0.093,-0.078,0.171,-864,-2107,1243,-0.083,-0.307
"Quincy, IL",Metro,7243,0.414,0.216,0.198,2995,1563,1432,732,29975,0.456,0.192,0.263,3217,1358,1859,680,28589,7523,0.353,0.202,0.151,2656,1517,1139,573,25968,185,-0.042,0.023,-0.066,-222,205,-427,0.077,0.048,-280,0.06,0.014,0.046,339,46,293,0.278,0.154
"Racine, WI",Metro,25073,0.543,0.303,0.24,13618,7606,6012,847,30529,0.453,0.197,0.256,10913,4754,6159,849,31815,19747,0.435,0.277,0.158,8586,5462,3124,814,34041,976,0.09,0.106,-0.016,2705,2852,-147,-0.002,-0.04,5326,0.108,0.027,0.082,5032,2144,2888,0.041,-0.103
