Region,Year,total_pop,ave_lifeexp,ave_birthrate,gdp_percap,ave_neonatal_mort_rate
Middle East & North Africa,2007,361549578,72.84804529616726,22.456,15522.873372893797,12.914285714285715
Middle East & North Africa,2008,369452647,73.0275005807201,22.343619047619047,16263.516596518244,12.485714285714286
Middle East & North Africa,2009,377485338,73.23782694541231,22.26647619047619,16360.118955420758,12.066666666666666
Middle East & North Africa,2010,385417024,73.45651103368179,22.21142857142857,17041.603597281355,11.661904761904761
Middle East & North Africa,2011,393274154,73.5600406504065,22.098380952380953,17568.3147564188,11.3
Middle East & North Africa,2012,401032763,73.69060278745646,21.94,18107.020679861187,10.947619047619048
Middle East & North Africa,2013,408731939,73.90491289198609,21.673714285714286,18451.537580289925,10.633333333333333
Middle East & North Africa,2014,416401841,74.06592915214867,21.38809523809524,18929.503930362054,10.30952380952381
North America,1990,277473326,76.2958536585366,15.433333333333334,23569.69156430822,5.1
North America,1991,281211703,75.649593495935,15.5,23970.32478192873,4.949999999999999
North America,1992,285092192,76.46890243902439,15.333333333333334,24988.45334663194,4.800000000000001
North America,1993,288811320,76.55231707317074,14.233333333333333,25945.120548103274,4.65
North America,1994,292297226,76.74073170731711,14.2,27247.92870581725,4.6
North America,1995,295691746,76.799756097561,13.5,28243.70630018986,4.55
North America,1996,299126029,77.12865853658539,13.433333333333334,29457.197970746463,4.45
North America,1997,302704697,77.4548780487805,12.899999999999999,30930.697119508794,4.35
North America,1998,306162843,77.62146341463415,12.850000000000001,32274.676298052167,4.25
North America,1999,309600485,77.73292682926831,12.7,33935.25788345012,4.15
North America,2000,312993944,77.91951219512197,12.933333333333334,35736.50624078108,4.15
North America,2001,316113359,78.069918699187,12.666666666666666,36567.03110768027,4.199999999999999
North America,2002,319050105,78.2048780487805,12.633333333333333,37448.10698225696,4.199999999999999
North America,2003,321847258,78.40325203252033,12.6,38941.424911613205,4.25
North America,2004,324864038,78.7048780487805,12.616666666666667,41118.62970354449,4.25
North America,2005,327892753,78.82195121951223,12.583333333333334,43503.57537465348,4.25
North America,2006,331014940,78.99813008130083,12.566666666666666,45609.33060863838,4.2
North America,2007,334184023,79.18544715447153,12.966666666666667,47214.92899532673,4.1
North America,2008,337405012,79.36699186991873,12.700000000000001,47602.8710006479,4.05
North America,2009,340465736,79.63004878048783,12.433333333333334,46192.191285204855,4
North America,2010,343417261,79.74764227642277,11.966666666666667,47548.88440568701,3.9
North America,2011,346126201,80.3811463414634,11.366666666666667,48967.523799544775,3.8
North America,2012,348918897,80.6605691056911,11.2,50508.29901414833,3.7
North America,2013,351647895,80.39298373983738,11.233333333333334,51877.711556054994,3.5999999999999996
North America,2014,354516198,80.56513008130081,11.3,53572.74018478682,3.5
South Asia,1990,1132833314,58.01107621951221,36.800625000000004,1208.8087368874455,49.699999999999996
